ash_id,e_mean,e_sd,hdi95_low,hdi95_high,n_used,depth_m,depth_sigma_m
Gujiao:GJ-ASH-157,250.8507047824664,0.05529194726503455,250.74549414164653,250.96542245393806,6,22.3,0.03
Gujiao:GJ-ASH-134,250.8547583490667,0.03835370018696812,250.77297655566906,250.92581234028992,6,28.4,0.03
Gujiao:GJ-ASH-36c,251.57198775172859,0.02827548453609456,251.51610874768352,251.62753339084784,8,46.8,0.03
Gujiao:GJ-ASH-10,251.70805547590913,0.029019593144460704,251.6494942270783,251.76376102434128,5,50.8,0.03
