depth_m,age_mean_ma,age_hdi95_low_ma,age_hdi95_high_ma
22.3,250.8038998148525,250.71861207884092,250.88036987060923
22.39531772575251,250.80508650334684,250.7207157989544,250.8807662747397
22.490635451505018,250.80627319183978,250.72286656315296,250.88158348718798
22.585953177257526,250.80745988033402,250.72502324387568,250.8824298857774
22.681270903010034,250.80864656882815,250.72727781211074,250.88346215205
22.776588628762543,250.8098332573224,250.7292159004885,250.88421532010386
22.87190635451505,250.81101994581536,250.73132284400455,250.88487822445663
22.96722408026756,250.81220663431074,250.73322296742643,250.88540091078394
23.062541806020068,250.81339332280285,250.7350773512255,250.886156096237
23.157859531772576,250.8145800112965,250.736920386179,250.88702739892406
23.253177257525085,250.8157666997907,250.7391586381991,250.88788450765287
23.348494983277593,250.81695338828482,250.74110625393413,250.88823977865167
23.4438127090301,250.81814007677795,250.74290341800693,250.88909713871385
23.53913043478261,250.81932676527316,250.74456227227986,250.88993349357418
23.63444816053512,250.8205134537673,250.74624374024873,250.89069230711007
23.729765886287627,250.82170014226145,250.7485009790222,250.89147972893866
23.825083612040135,250.82288683075515,250.75065764780757,250.8920154250481
23.920401337792644,250.82407351924866,250.75271326420358,250.89274725863072
24.015719063545152,250.82526020774225,250.75387546254677,250.8935319802037
24.11103678929766,250.82644689623567,250.75586632564745,250.89429545338692
24.20635451505017,250.82763358473022,250.75746686418447,250.89495930072468
24.301672240802677,250.82882027322364,250.7590779497337,250.89593250574657
24.396989966555186,250.8300069617171,250.76082190304174,250.89707921458134
24.492307692307694,250.831193650212,250.76280388216816,250.89751897173986
24.587625418060203,250.83238033870634,250.7651214720642,250.89849574051698
24.68294314381271,250.8335670271993,250.76719560841184,250.89942943940682
24.77826086956522,250.83475371569406,250.76914531825332,250.90010933256707
24.873578595317728,250.8359404041875,250.77120668399584,250.90122025523843
24.968896321070233,250.8371270926807,250.77262658027843,250.90196690721848
25.06421404682274,250.83831378117503,250.77373841300292,250.9026965004192
25.15953177257525,250.83950046966967,250.77548352526955,250.90349655365404
25.254849498327758,250.84068715816244,250.7769811248601,250.90449653609457
25.350167224080266,250.84187384665623,250.77851481354273,250.90541624611026
25.445484949832775,250.8430605351501,250.7805299809961,250.906566601093
25.540802675585283,250.8442472236451,250.78153753057995,250.90733928376736
25.63612040133779,250.84543391213876,250.78302829696383,250.90840640593018
25.7314381270903,250.84662060063243,250.78418806797316,250.90906538415575
25.82675585284281,250.84780728912617,250.78526507799822,250.91015106991762
25.922073578595317,250.84899397761987,250.7868584702204,250.9110969149341
26.017391304347825,250.85018066611346,250.78827562158492,250.9119872660491
26.112709030100334,250.85136735460767,250.78950113555427,250.9128933071112
26.208026755852842,250.85255404310155,250.7906991175436,250.91406988711998
26.30334448160535,250.85374073159488,250.79200736485103,250.91511027149943
26.39866220735786,250.85492742008944,250.792879171274,250.91619727144783
26.493979933110367,250.856114108583,250.79412543099536,250.9170220457301
26.589297658862876,250.85730079707727,250.795442984467,250.9185330863688
26.684615384615384,250.85848748557115,250.7963985198548,250.91980933530576
26.779933110367892,250.8596741740651,250.7974562858747,250.92170210950562
26.8752508361204,250.860860862559,250.79837874322808,250.922943647695
26.97056856187291,250.86204755105246,250.79933576846662,250.92440714364594
27.065886287625418,250.86323423954624,250.8004986911243,250.9256095911764
27.161204013377926,250.86442092804032,250.80151196859225,250.92736715709958
27.256521739130434,250.86560761653433,250.80213580433877,250.92861371415395
27.351839464882943,250.86679430502863,250.80309020485308,250.9301148347718
27.44715719063545,250.86798099352205,250.80390454624455,250.931355866083
27.54247491638796,250.86916768201684,250.8045612409321,250.93287157540183
27.637792642140468,250.87035437051028,250.80554896867505,250.93443204304177
27.733110367892976,250.87154105900336,250.80648067356287,250.9361088195602
27.828428093645485,250.87272774749798,250.80746011092384,250.9374472873348
27.923745819397993,250.8739144359918,250.80827950098887,250.93900585190963
28.0190635451505,250.8751011244853,250.80924639957567,250.94071782028286
28.11438127090301,250.87628781297914,250.8099821991976,250.9424958460133
28.20969899665552,250.877474501473,250.81061136783495,250.94391463396835
28.305016722408027,250.8786613515389,250.8112500309402,250.94566830038306
28.400334448160535,250.8801598197328,250.81235732951353,250.94730047078127
28.495652173913044,250.88347027670707,250.81612306770836,250.95035893362785
28.590969899665552,250.88706488733416,250.82012528675298,250.9535426810768
28.68628762541806,250.8906596119833,250.82408039048735,250.95675351584615
28.78160535117057,250.8942543366322,250.8280045666442,250.9599424121396
28.876923076923077,250.89784906128335,250.83192036610816,250.96317750801904
28.972240802675586,250.90144378593192,250.83597546642372,250.96639912758513
29.067558528428094,250.90503851058187,250.83988158396434,250.96976523737789
29.162876254180603,250.90863323523126,250.84383898214472,250.97292647264888
29.25819397993311,250.91222795988182,250.8477708337429,250.97623770947897
29.35351170568562,250.91582268453044,250.85154271463972,250.97924464318683
29.448829431438128,250.91941740918023,250.85541727197486,250.98245686571684
29.544147157190636,250.92301213382922,250.859326929421,250.98566908824688
29.639464882943145,250.9266068584794,250.86324361739628,250.98887943520924
29.734782608695653,250.93020158312888,250.86716182733923,250.99208601362974
29.83010033444816,250.93379630777693,250.8710875283882,250.99536093375696
29.92541806020067,250.93739103242783,250.8750168561109,250.99850975067577
30.02073578595318,250.94098575707656,250.87907867051467,251.0017232233523
30.116053511705687,250.94458048172683,250.88285441243366,251.00489054474355
30.211371237458195,250.94817520637756,250.88682381671399,251.0081079477556
30.306688963210703,250.9517699310253,250.8907781748587,251.0113584893297
30.402006688963212,250.95536465567506,250.89464613129567,251.0147158260542
