depth_obs_m,eruption_obs_ma,eruption_obs_sd_ma,age_model_mean_ma,age_model_hdi95_low_ma,age_model_hdi95_high_ma
22.3,250.8507047824664,0.05529194726503455,250.80391334438013,250.71908337641378,250.88017616359744
28.4,250.8547583490667,0.03835370018696812,250.87982623763608,250.81179362345804,250.94729505664247
46.8,251.57198775172859,0.02827548453609456,251.57379600196737,251.5192141889688,251.62803774148492
50.8,251.70805547590913,0.029019593144460704,251.70546418334908,251.65071663305133,251.76072033101195
